START	rep1_2igf_20	on 2017 June 05 at 21:50:02
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2igf_20/structures/MoleculeA.pdb	6.88543796539
SUB_TIME	Mounting antigen A	0.405981063843
DISK_USAGE	after_antigen_initialization	456
SUB_TIME	culling_clashes	5.57563495636
DISK_USAGE	after_culling_clashes	512
DISK_USAGE	beginning_MAPs_energy_calculations	15528
TIME	antigen_relaxation_and_positioning	12.46
TIME	parts_101_to_120_interaction_energies	1818.21
TIME	parts_141_to_160_interaction_energies	1840.23
TIME	parts_81_to_100_interaction_energies	1927.47
TIME	parts_121_to_140_interaction_energies	1941.45
TIME	parts_1_to_20_interaction_energies	2003.78
TIME	parts_21_to_40_interaction_energies	2028.23
TIME	parts_61_to_80_interaction_energies	2003.75
TIME	parts_41_to_60_interaction_energies	2049.28
TIME	parts_601_to_620_interaction_energies	1777.84
TIME	parts_581_to_600_interaction_energies	1831.12
TIME	parts_621_to_640_interaction_energies	1783.48
TIME	parts_641_to_660_interaction_energies	1769.89
TIME	parts_701_to_720_interaction_energies	1718.64
TIME	parts_661_to_680_interaction_energies	1810.75
TIME	parts_681_to_700_interaction_energies	1894.94
TIME	parts_741_to_760_interaction_energies	1787.69
TIME	parts_721_to_740_interaction_energies	1792.24
TIME	parts_761_to_780_interaction_energies	2121.98
TIME	parts_561_to_580_interaction_energies	3624.6
TIME	parts_921_to_924_interaction_energies	796.75
TIME	parts_841_to_860_interaction_energies	1831.85
TIME	parts_541_to_560_interaction_energies	4385.99
TIME	parts_861_to_880_interaction_energies	1808.23
TIME	parts_781_to_800_interaction_energies	4125.28
TIME	parts_821_to_840_interaction_energies	4036.35
TIME	parts_801_to_820_interaction_energies	4265.69
TIME	parts_881_to_900_interaction_energies	3173.6
TIME	parts_901_to_920_interaction_energies	3949.7
TIME	parts_161_to_180_interaction_energies	39220.5
TIME	parts_181_to_200_interaction_energies	39624.47
TIME	parts_201_to_220_interaction_energies	39758.74
TIME	parts_221_to_240_interaction_energies	39985.17
TIME	parts_241_to_260_interaction_energies	40191.28
TIME	parts_261_to_280_interaction_energies	40379.11
TIME	parts_381_to_400_interaction_energies	39216.31
TIME	parts_401_to_420_interaction_energies	39602.68
TIME	parts_361_to_380_interaction_energies	41594.49
TIME	parts_281_to_300_interaction_energies	43229.64
TIME	parts_301_to_320_interaction_energies	43218.15
TIME	parts_321_to_340_interaction_energies	43353.53
TIME	parts_341_to_360_interaction_energies	44738.96
TIME	parts_421_to_440_interaction_energies	55430.64
