START	rep1_3ffd_20	on 2017 June 06 at 00:24:08
DISK_USAGE	initial	488
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3ffd_20/structures/MoleculeA.pdb	20.1871180534
SUB_TIME	Mounting antigen A	0.347759008408
DISK_USAGE	after_antigen_initialization	584
SUB_TIME	culling_clashes	6.33207798004
DISK_USAGE	after_culling_clashes	584
DISK_USAGE	beginning_MAPs_energy_calculations	15592
TIME	antigen_relaxation_and_positioning	26.31
TIME	parts_921_to_924_interaction_energies	482.25
TIME	parts_841_to_860_interaction_energies	1252.17
TIME	parts_861_to_880_interaction_energies	1246.74
TIME	parts_881_to_900_interaction_energies	2014.25
TIME	parts_821_to_840_interaction_energies	2499.3
TIME	parts_901_to_920_interaction_energies	2460.04
TIME	parts_61_to_80_interaction_energies	1243.05
TIME	parts_81_to_100_interaction_energies	1244.96
TIME	parts_1_to_20_interaction_energies	1363.55
TIME	parts_101_to_120_interaction_energies	1345.59
TIME	parts_21_to_40_interaction_energies	1271.1
TIME	parts_41_to_60_interaction_energies	1284.0
TIME	parts_121_to_140_interaction_energies	1290.4
TIME	parts_201_to_220_interaction_energies	1291.69
TIME	parts_141_to_160_interaction_energies	1303.08
TIME	parts_221_to_240_interaction_energies	1340.41
TIME	parts_181_to_200_interaction_energies	1317.75
TIME	parts_241_to_260_interaction_energies	1316.82
TIME	parts_161_to_180_interaction_energies	1306.86
TIME	parts_261_to_280_interaction_energies	1321.32
TIME	parts_281_to_300_interaction_energies	1346.26
TIME	parts_301_to_320_interaction_energies	1317.79
TIME	parts_321_to_340_interaction_energies	1332.41
TIME	parts_381_to_400_interaction_energies	1201.32
TIME	parts_361_to_380_interaction_energies	1273.52
TIME	parts_401_to_420_interaction_energies	1264.4
TIME	parts_601_to_620_interaction_energies	1211.31
TIME	parts_341_to_360_interaction_energies	1473.52
TIME	parts_661_to_680_interaction_energies	1238.04
TIME	parts_641_to_660_interaction_energies	1264.91
TIME	parts_581_to_600_interaction_energies	1236.62
TIME	parts_421_to_440_interaction_energies	1773.06
TIME	parts_621_to_640_interaction_energies	1240.75
TIME	parts_681_to_700_interaction_energies	1223.94
TIME	parts_701_to_720_interaction_energies	1185.51
TIME	parts_721_to_740_interaction_energies	1206.8
TIME	parts_741_to_760_interaction_energies	1203.88
TIME	parts_561_to_580_interaction_energies	2177.81
TIME	parts_761_to_780_interaction_energies	1392.33
TIME	parts_441_to_460_interaction_energies	2730.07
TIME	parts_541_to_560_interaction_energies	2627.22
TIME	parts_521_to_540_interaction_energies	2643.8
TIME	parts_461_to_480_interaction_energies	2709.37
TIME	parts_501_to_520_interaction_energies	2680.7
TIME	parts_481_to_500_interaction_energies	2741.36
TIME	parts_781_to_800_interaction_energies	2528.2
DISK_USAGE	after_MAPs_energy_calculations	50592
SUB_TIME	regrouping_interaction_energies	33.8543598652
DISK_USAGE	after_regrouping_energies	23488
TIME	MILP_for_positions_501_to_550	3297.96
TIME	MILP_for_positions_51_to_100	3333.97
TIME	MILP_for_positions_201_to_250	3301.89
TIME	MILP_for_positions_451_to_500	3270.65
TIME	MILP_for_positions_751_to_800	3425.88
TIME	MILP_for_positions_151_to_200	4043.88
TIME	MILP_for_positions_901_to_944	3361.64
TIME	MILP_for_positions_301_to_350	4283.97
TIME	MILP_for_positions_251_to_300	4280.6
TIME	MILP_for_positions_801_to_850	3801.06
TIME	MILP_for_positions_851_to_900	3764.6
TIME	MILP_for_positions_101_to_150	4524.13
