START	rep1_2vxq_20	on 2017 June 04 at 16:52:24
DISK_USAGE	initial	568
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_2vxq_20/structures/MoleculeA.pdb	7.90073394775
SUB_TIME	Mounting antigen A	0.674702167511
DISK_USAGE	after_antigen_initialization	1024
SUB_TIME	culling_clashes	9.1416490078
DISK_USAGE	after_culling_clashes	1024
DISK_USAGE	beginning_MAPs_energy_calculations	16320
TIME	antigen_relaxation_and_positioning	16.56
TIME	parts_1_to_20_interaction_energies	2604.31
TIME	parts_41_to_60_interaction_energies	2731.01
TIME	parts_61_to_80_interaction_energies	2738.38
TIME	parts_101_to_120_interaction_energies	2733.88
TIME	parts_21_to_40_interaction_energies	2723.0
TIME	parts_121_to_140_interaction_energies	2735.07
TIME	parts_181_to_200_interaction_energies	2629.62
TIME	parts_81_to_100_interaction_energies	2747.67
TIME	parts_161_to_180_interaction_energies	2752.6
TIME	parts_141_to_160_interaction_energies	2765.72
TIME	parts_201_to_220_interaction_energies	2695.91
TIME	parts_221_to_240_interaction_energies	2732.45
TIME	parts_241_to_260_interaction_energies	2669.88
TIME	parts_281_to_300_interaction_energies	2722.78
TIME	parts_321_to_340_interaction_energies	2726.02
TIME	parts_261_to_280_interaction_energies	2713.13
TIME	parts_361_to_380_interaction_energies	2667.07
TIME	parts_381_to_400_interaction_energies	2576.11
TIME	parts_301_to_320_interaction_energies	2749.29
TIME	parts_341_to_360_interaction_energies	2807.93
TIME	parts_401_to_420_interaction_energies	2700.15
TIME	parts_921_to_924_interaction_energies	793.14
TIME	parts_421_to_440_interaction_energies	3159.35
TIME	parts_581_to_600_interaction_energies	2672.01
TIME	parts_721_to_740_interaction_energies	2556.48
TIME	parts_661_to_680_interaction_energies	2559.9
TIME	parts_601_to_620_interaction_energies	2669.73
TIME	parts_441_to_460_interaction_energies	4101.68
TIME	parts_461_to_480_interaction_energies	4117.35
TIME	parts_481_to_500_interaction_energies	4151.4
TIME	parts_621_to_640_interaction_energies	2674.53
TIME	parts_641_to_660_interaction_energies	2663.61
TIME	parts_501_to_520_interaction_energies	4032.15
TIME	parts_681_to_700_interaction_energies	2673.63
TIME	parts_701_to_720_interaction_energies	2654.58
TIME	parts_741_to_760_interaction_energies	2661.94
TIME	parts_861_to_880_interaction_energies	2579.71
TIME	parts_761_to_780_interaction_energies	2882.85
TIME	parts_841_to_860_interaction_energies	2614.85
TIME	parts_521_to_540_interaction_energies	4110.14
TIME	parts_561_to_580_interaction_energies	3712.38
TIME	parts_541_to_560_interaction_energies	4090.23
TIME	parts_881_to_900_interaction_energies	3412.47
TIME	parts_781_to_800_interaction_energies	3897.12
TIME	parts_801_to_820_interaction_energies	4046.5
TIME	parts_821_to_840_interaction_energies	4031.17
DISK_USAGE	after_MAPs_energy_calculations	54864
SUB_TIME	regrouping_interaction_energies	47.0778539181
DISK_USAGE	after_regrouping_energies	25984
TIME	MILP_for_positions_1001_to_1023	1597.46
TIME	MILP_for_positions_851_to_900	3183.06
TIME	MILP_for_positions_601_to_650	3219.81
TIME	MILP_for_positions_551_to_600	3324.18
TIME	MILP_for_positions_901_to_950	3263.73
TIME	MILP_for_positions_801_to_850	3360.5
TIME	MILP_for_positions_701_to_750	3379.88
TIME	MILP_for_positions_751_to_800	3237.01
TIME	MILP_for_positions_951_to_1000	3302.07
TIME	MILP_for_positions_651_to_700	3276.61
TIME	MILP_for_positions_151_to_200	3088.78
TIME	MILP_for_positions_201_to_250	3127.86
TIME	MILP_for_positions_1_to_50	3366.16
TIME	MILP_for_positions_101_to_150	3246.27
TIME	MILP_for_positions_51_to_100	3323.93
TIME	MILP_for_positions_301_to_350	3293.81
TIME	MILP_for_positions_351_to_400	3213.59
TIME	MILP_for_positions_401_to_450	3241.39
TIME	MILP_for_positions_251_to_300	3283.11
TIME	MILP_for_positions_451_to_500	3352.87
DISK_USAGE	after_MILP	9800
DISK_USAGE	after_removing_MILP_files	1624
SUB_TIME	clustering	57.7437400818
SUB_TIME	antibody_complex_assembly_and_relaxation	15.3859210014
SUB_TIME	clustering	73.1455681324
DISK_USAGE	final	9376
FINISH	rep1_2vxq_20	on 2017 June 05 at 03:52:39
TIME	MILP_for_positions_501_to_550	3463.97
