START	rep1_3mls_01	on 2017 June 11 at 11:08:58
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3mls_01/structures/MoleculeA.pdb	16.3980550766
SUB_TIME	Mounting antigen A	0.549710035324
DISK_USAGE	after_antigen_initialization	624
SUB_TIME	culling_clashes	6.55758714676
DISK_USAGE	after_culling_clashes	664
DISK_USAGE	beginning_MAPs_energy_calculations	30016
TIME	antigen_relaxation_and_positioning	42.85
TIME	parts_35_to_35_interaction_energies	66.61
TIME	parts_36_to_36_interaction_energies	70.57
TIME	parts_34_to_34_interaction_energies	69.15
TIME	parts_136_to_136_interaction_energies	67.84
TIME	parts_135_to_135_interaction_energies	66.69
TIME	parts_134_to_134_interaction_energies	69.93
TIME	parts_234_to_234_interaction_energies	73.45
TIME	parts_326_to_326_interaction_energies	77.84
TIME	parts_327_to_327_interaction_energies	76.86
TIME	parts_51_to_51_interaction_energies	67.35
TIME	parts_50_to_50_interaction_energies	69.39
TIME	parts_155_to_155_interaction_energies	68.04
TIME	parts_153_to_153_interaction_energies	72.11
TIME	parts_154_to_154_interaction_energies	69.64
TIME	parts_271_to_271_interaction_energies	76.52
TIME	parts_366_to_366_interaction_energies	85.65
TIME	parts_441_to_441_interaction_energies	146.43
TIME	parts_440_to_440_interaction_energies	148.28
TIME	parts_58_to_58_interaction_energies	69.44
TIME	parts_518_to_518_interaction_energies	148.88
TIME	parts_167_to_167_interaction_energies	70.89
TIME	parts_676_to_676_interaction_energies	69.06
TIME	parts_675_to_675_interaction_energies	69.39
TIME	parts_314_to_314_interaction_energies	75.87
TIME	parts_75_to_75_interaction_energies	71.4
TIME	parts_76_to_76_interaction_energies	71.92
TIME	parts_182_to_182_interaction_energies	70.78
TIME	parts_183_to_183_interaction_energies	71.21
TIME	parts_95_to_95_interaction_energies	65.31
TIME	parts_94_to_94_interaction_energies	67.73
TIME	parts_93_to_93_interaction_energies	67.44
TIME	parts_92_to_92_interaction_energies	70.79
TIME	parts_201_to_201_interaction_energies	67.92
TIME	parts_202_to_202_interaction_energies	72.22
TIME	parts_371_to_371_interaction_energies	66.83
TIME	parts_372_to_372_interaction_energies	68.1
TIME	parts_600_to_600_interaction_energies	67.39
TIME	parts_447_to_447_interaction_energies	150.48
TIME	parts_684_to_684_interaction_energies	69.01
TIME	parts_683_to_683_interaction_energies	69.76
TIME	parts_528_to_528_interaction_energies	147.36
TIME	parts_756_to_756_interaction_energies	68.7
TIME	parts_527_to_527_interaction_energies	151.78
TIME	parts_107_to_107_interaction_energies	73.36
TIME	parts_106_to_106_interaction_energies	70.01
TIME	parts_105_to_105_interaction_energies	72.21
TIME	parts_216_to_216_interaction_energies	71.56
TIME	parts_819_to_819_interaction_energies	141.19
TIME	parts_385_to_385_interaction_energies	60.55
TIME	parts_626_to_626_interaction_energies	68.17
TIME	parts_625_to_625_interaction_energies	67.87
TIME	parts_627_to_627_interaction_energies	69.82
TIME	parts_475_to_475_interaction_energies	151.88
TIME	parts_108_to_108_interaction_energies	67.94
TIME	parts_476_to_476_interaction_energies	156.27
TIME	parts_474_to_474_interaction_energies	151.25
TIME	parts_551_to_551_interaction_energies	148.3
TIME	parts_552_to_552_interaction_energies	149.16
TIME	parts_218_to_218_interaction_energies	69.37
TIME	parts_217_to_217_interaction_energies	74.02
TIME	parts_726_to_726_interaction_energies	67.41
TIME	parts_728_to_728_interaction_energies	68.03
TIME	parts_727_to_727_interaction_energies	68.26
TIME	parts_16_to_16_interaction_energies	69.49
TIME	parts_13_to_13_interaction_energies	65.78
TIME	parts_15_to_15_interaction_energies	70.67
TIME	parts_12_to_12_interaction_energies	68.43
TIME	parts_14_to_14_interaction_energies	69.67
TIME	parts_80_to_80_interaction_energies	68.74
TIME	parts_19_to_19_interaction_energies	66.33
TIME	parts_18_to_18_interaction_energies	66.38
TIME	parts_81_to_81_interaction_energies	70.42
TIME	parts_82_to_82_interaction_energies	71.12
TIME	parts_83_to_83_interaction_energies	72.5
TIME	parts_323_to_323_interaction_energies	64.38
TIME	parts_322_to_322_interaction_energies	73.17
TIME	parts_324_to_324_interaction_energies	72.95
TIME	parts_321_to_321_interaction_energies	76.35
TIME	parts_368_to_368_interaction_energies	66.89
TIME	parts_20_to_20_interaction_energies	70.26
TIME	parts_68_to_68_interaction_energies	65.38
TIME	parts_69_to_69_interaction_energies	68.92
TIME	parts_66_to_66_interaction_energies	69.28
TIME	parts_71_to_71_interaction_energies	68.73
TIME	parts_67_to_67_interaction_energies	71.32
TIME	parts_70_to_70_interaction_energies	69.08
TIME	parts_72_to_72_interaction_energies	70.53
TIME	parts_211_to_211_interaction_energies	70.54
TIME	parts_24_to_24_interaction_energies	63.19
TIME	parts_25_to_25_interaction_energies	66.05
TIME	parts_22_to_22_interaction_energies	68.23
TIME	parts_21_to_21_interaction_energies	71.07
TIME	parts_23_to_23_interaction_energies	68.5
TIME	parts_334_to_334_interaction_energies	61.05
TIME	parts_335_to_335_interaction_energies	66.68
TIME	parts_333_to_333_interaction_energies	76.92
TIME	parts_337_to_337_interaction_energies	75.35
TIME	parts_336_to_336_interaction_energies	75.36
TIME	parts_339_to_339_interaction_energies	75.95
TIME	parts_338_to_338_interaction_energies	77.08
TIME	parts_74_to_74_interaction_energies	70.24
TIME	parts_73_to_73_interaction_energies	71.07
TIME	parts_133_to_133_interaction_energies	68.79
TIME	parts_137_to_137_interaction_energies	69.65
TIME	parts_212_to_212_interaction_energies	66.9
TIME	parts_213_to_213_interaction_energies	71.53
TIME	parts_26_to_26_interaction_energies	70.26
TIME	parts_27_to_27_interaction_energies	69.74
TIME	parts_29_to_29_interaction_energies	69.32
TIME	parts_28_to_28_interaction_energies	71.47
TIME	parts_343_to_343_interaction_energies	76.34
TIME	parts_341_to_341_interaction_energies	74.89
TIME	parts_342_to_342_interaction_energies	77.71
TIME	parts_340_to_340_interaction_energies	79.79
TIME	parts_77_to_77_interaction_energies	73.23
TIME	parts_78_to_78_interaction_energies	73.51
TIME	parts_146_to_146_interaction_energies	64.99
TIME	parts_149_to_149_interaction_energies	68.76
TIME	parts_139_to_139_interaction_energies	68.39
TIME	parts_141_to_141_interaction_energies	68.66
TIME	parts_144_to_144_interaction_energies	68.67
TIME	parts_142_to_142_interaction_energies	70.55
TIME	parts_140_to_140_interaction_energies	70.15
TIME	parts_147_to_147_interaction_energies	71.37
TIME	parts_145_to_145_interaction_energies	71.41
TIME	parts_143_to_143_interaction_energies	70.22
TIME	parts_138_to_138_interaction_energies	71.67
TIME	parts_148_to_148_interaction_energies	72.24
TIME	parts_233_to_233_interaction_energies	70.07
TIME	parts_230_to_230_interaction_energies	71.27
TIME	parts_231_to_231_interaction_energies	72.0
TIME	parts_232_to_232_interaction_energies	72.94
TIME	parts_223_to_223_interaction_energies	65.42
TIME	parts_214_to_214_interaction_energies	73.0
TIME	parts_228_to_228_interaction_energies	71.77
TIME	parts_229_to_229_interaction_energies	72.23
TIME	parts_224_to_224_interaction_energies	68.56
TIME	parts_227_to_227_interaction_energies	71.65
TIME	parts_226_to_226_interaction_energies	72.88
TIME	parts_225_to_225_interaction_energies	73.51
TIME	parts_215_to_215_interaction_energies	74.49
TIME	parts_219_to_219_interaction_energies	73.86
TIME	parts_222_to_222_interaction_energies	75.14
TIME	parts_220_to_220_interaction_energies	75.55
TIME	parts_221_to_221_interaction_energies	76.84
TIME	parts_38_to_38_interaction_energies	65.81
TIME	parts_32_to_32_interaction_energies	66.56
TIME	parts_37_to_37_interaction_energies	67.07
TIME	parts_30_to_30_interaction_energies	67.4
TIME	parts_31_to_31_interaction_energies	67.66
TIME	parts_33_to_33_interaction_energies	67.48
TIME	parts_42_to_42_interaction_energies	69.37
TIME	parts_41_to_41_interaction_energies	69.74
TIME	parts_39_to_39_interaction_energies	70.01
TIME	parts_10_to_10_interaction_energies	70.89
TIME	parts_40_to_40_interaction_energies	71.64
TIME	parts_44_to_44_interaction_energies	69.14
TIME	parts_11_to_11_interaction_energies	69.98
TIME	parts_43_to_43_interaction_energies	69.44
TIME	parts_52_to_52_interaction_energies	74.52
TIME	parts_273_to_273_interaction_energies	72.12
TIME	parts_17_to_17_interaction_energies	72.13
TIME	parts_208_to_208_interaction_energies	70.6
TIME	parts_209_to_209_interaction_energies	70.98
TIME	parts_206_to_206_interaction_energies	70.98
TIME	parts_198_to_198_interaction_energies	70.47
TIME	parts_204_to_204_interaction_energies	69.12
TIME	parts_207_to_207_interaction_energies	72.47
TIME	parts_203_to_203_interaction_energies	70.28
TIME	parts_200_to_200_interaction_energies	70.76
TIME	parts_205_to_205_interaction_energies	71.51
TIME	parts_199_to_199_interaction_energies	70.88
TIME	parts_45_to_45_interaction_energies	68.96
TIME	parts_46_to_46_interaction_energies	65.97
TIME	parts_47_to_47_interaction_energies	69.79
TIME	parts_49_to_49_interaction_energies	70.21
TIME	parts_48_to_48_interaction_energies	69.55
TIME	parts_54_to_54_interaction_energies	69.27
TIME	parts_53_to_53_interaction_energies	72.64
TIME	parts_55_to_55_interaction_energies	72.64
TIME	parts_346_to_346_interaction_energies	65.11
TIME	parts_330_to_330_interaction_energies	70.46
TIME	parts_331_to_331_interaction_energies	70.69
TIME	parts_347_to_347_interaction_energies	74.93
TIME	parts_332_to_332_interaction_energies	75.77
TIME	parts_345_to_345_interaction_energies	75.79
TIME	parts_344_to_344_interaction_energies	76.17
TIME	parts_320_to_320_interaction_energies	74.92
TIME	parts_329_to_329_interaction_energies	75.15
TIME	parts_325_to_325_interaction_energies	74.73
TIME	parts_318_to_318_interaction_energies	73.04
TIME	parts_328_to_328_interaction_energies	75.72
TIME	parts_319_to_319_interaction_energies	77.88
TIME	parts_116_to_116_interaction_energies	67.13
TIME	parts_121_to_121_interaction_energies	67.46
TIME	parts_117_to_117_interaction_energies	67.69
TIME	parts_118_to_118_interaction_energies	67.61
TIME	parts_110_to_110_interaction_energies	69.53
TIME	parts_115_to_115_interaction_energies	68.45
TIME	parts_113_to_113_interaction_energies	66.42
TIME	parts_120_to_120_interaction_energies	69.06
TIME	parts_119_to_119_interaction_energies	69.66
