START	rep1_1ors_20	on 2017 June 03 at 22:50:55
DISK_USAGE	initial	624
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_1ors_20/structures/MoleculeA.pdb	16.2757260799
SUB_TIME	Mounting antigen A	0.408103942871
DISK_USAGE	after_antigen_initialization	1904
SUB_TIME	culling_clashes	14.8280131817
DISK_USAGE	after_culling_clashes	1856
DISK_USAGE	beginning_MAPs_energy_calculations	16664
TIME	antigen_relaxation_and_positioning	31.82
TIME	parts_1_to_20_interaction_energies	174.79
TIME	parts_21_to_40_interaction_energies	180.76
TIME	parts_41_to_60_interaction_energies	181.45
TIME	parts_61_to_80_interaction_energies	177.93
TIME	parts_81_to_100_interaction_energies	179.17
TIME	parts_101_to_120_interaction_energies	181.59
TIME	parts_121_to_140_interaction_energies	178.89
TIME	parts_141_to_160_interaction_energies	182.95
TIME	parts_161_to_180_interaction_energies	163.78
TIME	parts_181_to_200_interaction_energies	183.24
TIME	parts_201_to_220_interaction_energies	181.1
TIME	parts_241_to_260_interaction_energies	182.1
TIME	parts_261_to_280_interaction_energies	181.8
TIME	parts_221_to_240_interaction_energies	181.25
TIME	parts_281_to_300_interaction_energies	189.07
TIME	parts_301_to_320_interaction_energies	187.32
TIME	parts_321_to_340_interaction_energies	184.81
TIME	parts_341_to_360_interaction_energies	186.26
TIME	parts_361_to_380_interaction_energies	180.86
TIME	parts_381_to_400_interaction_energies	177.91
TIME	parts_401_to_420_interaction_energies	179.89
TIME	parts_421_to_440_interaction_energies	206.72
TIME	parts_441_to_460_interaction_energies	252.36
TIME	parts_461_to_480_interaction_energies	262.53
TIME	parts_481_to_500_interaction_energies	257.8
TIME	parts_501_to_520_interaction_energies	254.72
TIME	parts_581_to_600_interaction_energies	177.17
TIME	parts_621_to_640_interaction_energies	175.92
TIME	parts_601_to_620_interaction_energies	179.07
TIME	parts_641_to_660_interaction_energies	176.66
TIME	parts_661_to_680_interaction_energies	180.04
TIME	parts_681_to_700_interaction_energies	179.03
TIME	parts_561_to_580_interaction_energies	222.64
TIME	parts_521_to_540_interaction_energies	261.13
TIME	parts_701_to_720_interaction_energies	180.34
TIME	parts_721_to_740_interaction_energies	180.71
TIME	parts_541_to_560_interaction_energies	253.95
TIME	parts_741_to_760_interaction_energies	180.59
TIME	parts_761_to_780_interaction_energies	192.1
TIME	parts_861_to_880_interaction_energies	180.08
TIME	parts_841_to_860_interaction_energies	182.63
TIME	parts_781_to_800_interaction_energies	250.21
TIME	parts_801_to_820_interaction_energies	248.62
TIME	parts_821_to_840_interaction_energies	255.24
TIME	parts_881_to_900_interaction_energies	220.69
TIME	parts_921_to_924_interaction_energies	49.21
DISK_USAGE	after_MAPs_energy_calculations	25992
SUB_TIME	regrouping_interaction_energies	28.1338338852
DISK_USAGE	after_regrouping_energies	2016
TIME	MILP_for_positions_51_to_51	65.26
DISK_USAGE	after_MILP	2432
DISK_USAGE	after_removing_MILP_files	2032
SUB_TIME	clustering	1.80538892746
SUB_TIME	antibody_complex_assembly_and_relaxation	21.2372620106
SUB_TIME	clustering	23.0522880554
DISK_USAGE	final	11024
FINISH	rep1_1ors_20	on 2017 June 04 at 02:44:25
TIME	MILP_for_positions_1_to_50	3181.23
