START	rep1_3ghb_20	on 2017 June 04 at 16:51:40
DISK_USAGE	initial	472
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3ghb_20/structures/MoleculeA.pdb	8.97755789757
SUB_TIME	Mounting antigen A	0.803586006165
DISK_USAGE	after_antigen_initialization	528
SUB_TIME	culling_clashes	6.9813990593
DISK_USAGE	after_culling_clashes	616
DISK_USAGE	beginning_MAPs_energy_calculations	15480
TIME	antigen_relaxation_and_positioning	13.49
TIME	parts_81_to_100_interaction_energies	1751.3
TIME	parts_21_to_40_interaction_energies	1702.21
TIME	parts_101_to_120_interaction_energies	1739.56
TIME	parts_41_to_60_interaction_energies	1720.86
TIME	parts_121_to_140_interaction_energies	1761.41
TIME	parts_141_to_160_interaction_energies	1780.27
TIME	parts_161_to_180_interaction_energies	1782.49
TIME	parts_381_to_400_interaction_energies	1693.08
TIME	parts_281_to_300_interaction_energies	1847.17
TIME	parts_401_to_420_interaction_energies	1683.7
TIME	parts_61_to_80_interaction_energies	1819.73
TIME	parts_361_to_380_interaction_energies	1810.23
TIME	parts_1_to_20_interaction_energies	1770.28
TIME	parts_201_to_220_interaction_energies	1863.54
TIME	parts_221_to_240_interaction_energies	1815.79
TIME	parts_341_to_360_interaction_energies	1940.54
TIME	parts_181_to_200_interaction_energies	1877.28
TIME	parts_601_to_620_interaction_energies	1735.64
TIME	parts_621_to_640_interaction_energies	1735.71
TIME	parts_261_to_280_interaction_energies	1918.41
TIME	parts_321_to_340_interaction_energies	1951.26
TIME	parts_241_to_260_interaction_energies	1888.61
TIME	parts_301_to_320_interaction_energies	1961.66
TIME	parts_581_to_600_interaction_energies	1730.56
TIME	parts_421_to_440_interaction_energies	2489.86
TIME	parts_921_to_924_interaction_energies	750.27
TIME	parts_641_to_660_interaction_energies	1658.47
TIME	parts_681_to_700_interaction_energies	1656.03
TIME	parts_561_to_580_interaction_energies	3168.24
TIME	parts_721_to_740_interaction_energies	1668.11
TIME	parts_741_to_760_interaction_energies	1666.86
TIME	parts_661_to_680_interaction_energies	1666.48
TIME	parts_701_to_720_interaction_energies	1638.39
TIME	parts_861_to_880_interaction_energies	1655.86
TIME	parts_761_to_780_interaction_energies	1967.98
TIME	parts_841_to_860_interaction_energies	1835.57
TIME	parts_541_to_560_interaction_energies	3911.52
TIME	parts_501_to_520_interaction_energies	3952.33
TIME	parts_441_to_460_interaction_energies	3975.89
TIME	parts_461_to_480_interaction_energies	3997.23
TIME	parts_481_to_500_interaction_energies	4047.2
TIME	parts_521_to_540_interaction_energies	4007.32
TIME	parts_781_to_800_interaction_energies	3660.69
TIME	parts_881_to_900_interaction_energies	3097.31
TIME	parts_821_to_840_interaction_energies	3796.85
TIME	parts_901_to_920_interaction_energies	3861.24
DISK_USAGE	after_MAPs_energy_calculations	69944
SUB_TIME	regrouping_interaction_energies	50.3621101379
DISK_USAGE	after_regrouping_energies	37568
TIME	MILP_for_positions_1301_to_1350	3231.59
TIME	MILP_for_positions_1551_to_1599	3184.14
TIME	MILP_for_positions_1451_to_1500	3267.35
TIME	MILP_for_positions_1501_to_1550	3227.8
TIME	MILP_for_positions_1351_to_1400	3324.89
TIME	MILP_for_positions_1401_to_1450	3345.03
TIME	MILP_for_positions_251_to_300	3069.49
TIME	MILP_for_positions_201_to_250	3180.05
TIME	MILP_for_positions_101_to_150	3310.53
TIME	MILP_for_positions_51_to_100	3497.3
TIME	MILP_for_positions_451_to_500	3078.21
TIME	MILP_for_positions_1_to_50	3421.87
TIME	MILP_for_positions_501_to_550	3155.41
TIME	MILP_for_positions_301_to_350	3413.95
TIME	MILP_for_positions_401_to_450	3443.19
TIME	MILP_for_positions_551_to_600	3387.63
TIME	MILP_for_positions_601_to_650	3159.21
TIME	MILP_for_positions_151_to_200	4029.8
TIME	MILP_for_positions_351_to_400	3978.31
TIME	MILP_for_positions_651_to_700	3414.93
TIME	MILP_for_positions_701_to_750	3139.73
TIME	MILP_for_positions_801_to_850	3135.24
TIME	MILP_for_positions_851_to_900	3157.58
TIME	MILP_for_positions_751_to_800	3396.35
TIME	MILP_for_positions_901_to_950	3150.73
TIME	MILP_for_positions_951_to_1000	3273.21
TIME	MILP_for_positions_1151_to_1200	3189.64
TIME	MILP_for_positions_1051_to_1100	3220.66
TIME	MILP_for_positions_1201_to_1250	3193.88
TIME	MILP_for_positions_1251_to_1300	3211.96
TIME	MILP_for_positions_1001_to_1050	3372.28
DISK_USAGE	after_MILP	13880
DISK_USAGE	after_removing_MILP_files	1104
SUB_TIME	clustering	110.179181099
SUB_TIME	antibody_complex_assembly_and_relaxation	28.8324320316
SUB_TIME	clustering	139.030027866
DISK_USAGE	final	9352
FINISH	rep1_3ghb_20	on 2017 June 05 at 02:27:21
TIME	MILP_for_positions_1101_to_1150	3343.37
