START	rep1_3bky_20	on 2017 June 02 at 23:58:34
DISK_USAGE	initial	480
SUB_TIME	NAMD relaxation of molecule /gpfs/work/m/mfa5147/OptMAVEn2.0/experiments/rep1_3bky_20/structures/MoleculeA.pdb	13.9512209892
SUB_TIME	Mounting antigen A	0.593667030334
DISK_USAGE	after_antigen_initialization	560
SUB_TIME	culling_clashes	4.95376801491
DISK_USAGE	after_culling_clashes	560
DISK_USAGE	beginning_MAPs_energy_calculations	15736
TIME	antigen_relaxation_and_positioning	18.5
TIME	parts_921_to_924_interaction_energies	838.34
TIME	parts_861_to_880_interaction_energies	1881.85
TIME	parts_581_to_600_interaction_energies	1930.45
TIME	parts_381_to_400_interaction_energies	1957.84
TIME	parts_681_to_700_interaction_energies	1916.64
TIME	parts_401_to_420_interaction_energies	1979.57
TIME	parts_741_to_760_interaction_energies	1924.03
TIME	parts_361_to_380_interaction_energies	2076.9
TIME	parts_841_to_860_interaction_energies	2009.25
TIME	parts_321_to_340_interaction_energies	2167.98
TIME	parts_101_to_120_interaction_energies	2019.7
TIME	parts_601_to_620_interaction_energies	2033.83
TIME	parts_621_to_640_interaction_energies	2034.83
TIME	parts_641_to_660_interaction_energies	2037.28
TIME	parts_121_to_140_interaction_energies	2037.2
TIME	parts_141_to_160_interaction_energies	2052.94
TIME	parts_661_to_680_interaction_energies	2066.72
TIME	parts_341_to_360_interaction_energies	2238.27
TIME	parts_701_to_720_interaction_energies	2018.09
TIME	parts_721_to_740_interaction_energies	2029.78
TIME	parts_1_to_20_interaction_energies	1993.0
TIME	parts_761_to_780_interaction_energies	2239.33
TIME	parts_21_to_40_interaction_energies	2012.83
TIME	parts_41_to_60_interaction_energies	2033.12
TIME	parts_61_to_80_interaction_energies	2042.2
TIME	parts_81_to_100_interaction_energies	2047.58
TIME	parts_161_to_180_interaction_energies	2063.2
TIME	parts_241_to_260_interaction_energies	2206.36
TIME	parts_181_to_200_interaction_energies	2075.4
TIME	parts_201_to_220_interaction_energies	2080.88
TIME	parts_261_to_280_interaction_energies	2221.34
TIME	parts_221_to_240_interaction_energies	2093.11
TIME	parts_281_to_300_interaction_energies	2273.64
TIME	parts_301_to_320_interaction_energies	2255.21
TIME	parts_421_to_440_interaction_energies	2821.19
TIME	parts_881_to_900_interaction_energies	3212.29
TIME	parts_561_to_580_interaction_energies	3517.28
TIME	parts_821_to_840_interaction_energies	4041.79
TIME	parts_781_to_800_interaction_energies	4063.98
TIME	parts_541_to_560_interaction_energies	4291.64
TIME	parts_801_to_820_interaction_energies	4190.14
TIME	parts_521_to_540_interaction_energies	4316.41
TIME	parts_441_to_460_interaction_energies	4378.84
TIME	parts_901_to_920_interaction_energies	4187.76
TIME	parts_501_to_520_interaction_energies	4390.34
TIME	parts_481_to_500_interaction_energies	4470.04
DISK_USAGE	after_MAPs_energy_calculations	72176
SUB_TIME	regrouping_interaction_energies	37.9030871391
DISK_USAGE	after_regrouping_energies	39984
TIME	MILP_for_positions_1651_to_1681	2334.47
TIME	MILP_for_positions_251_to_300	3098.39
TIME	MILP_for_positions_501_to_550	3144.12
TIME	MILP_for_positions_551_to_600	3146.16
TIME	MILP_for_positions_601_to_650	3233.9
TIME	MILP_for_positions_1151_to_1200	3233.23
TIME	MILP_for_positions_1101_to_1150	3270.49
TIME	MILP_for_positions_1051_to_1100	3333.01
TIME	MILP_for_positions_1351_to_1400	3351.28
TIME	MILP_for_positions_1_to_50	3217.48
TIME	MILP_for_positions_51_to_100	3236.78
TIME	MILP_for_positions_1401_to_1450	3199.14
TIME	MILP_for_positions_1251_to_1300	3347.25
TIME	MILP_for_positions_801_to_850	3304.03
TIME	MILP_for_positions_1301_to_1350	3396.29
TIME	MILP_for_positions_1201_to_1250	3387.55
TIME	MILP_for_positions_751_to_800	3386.2
TIME	MILP_for_positions_101_to_150	3315.98
TIME	MILP_for_positions_701_to_750	3376.49
TIME	MILP_for_positions_651_to_700	3410.95
TIME	MILP_for_positions_1501_to_1550	3310.33
TIME	MILP_for_positions_1451_to_1500	3305.97
TIME	MILP_for_positions_151_to_200	3375.08
TIME	MILP_for_positions_201_to_250	3373.99
TIME	MILP_for_positions_1601_to_1650	3570.04
TIME	MILP_for_positions_1551_to_1600	3582.22
TIME	MILP_for_positions_1001_to_1050	3423.59
TIME	MILP_for_positions_301_to_350	3604.07
TIME	MILP_for_positions_451_to_500	3663.61
TIME	MILP_for_positions_351_to_400	3702.68
TIME	MILP_for_positions_401_to_450	3667.87
TIME	MILP_for_positions_901_to_950	3863.56
TIME	MILP_for_positions_851_to_900	3857.97
DISK_USAGE	after_MILP	14640
DISK_USAGE	after_removing_MILP_files	1208
SUB_TIME	clustering	67.0533759594
SUB_TIME	antibody_complex_assembly_and_relaxation	16.9851408005
SUB_TIME	clustering	84.0567219257
DISK_USAGE	final	7312
FINISH	rep1_3bky_20	on 2017 June 03 at 02:39:39
TIME	MILP_for_positions_951_to_1000	4017.78
