Iteration    50 Time 6.676541 Energy -3087.853600
Iteration   100 Time 13.376057 Energy -3333.503300
Iteration   150 Time 19.991950 Energy -3429.079900
Iteration   200 Time 26.566387 Energy -3471.142100
Iteration   250 Time 33.203103 Energy -3505.036000
Iteration   300 Time 39.821656 Energy -3524.625000
Iteration   350 Time 46.449755 Energy -3537.155800
Iteration   400 Time 53.054356 Energy -3547.368900
Iteration   450 Time 59.651781 Energy -3556.809100
Iteration   500 Time 66.270007 Energy -3567.537600
Iteration   550 Time 72.943052 Energy -3570.776600
Iteration   600 Time 79.575284 Energy -3575.728300
Iteration   650 Time 86.182166 Energy -3579.728800
Iteration   700 Time 92.764883 Energy -3583.015400
Iteration   750 Time 99.518305 Energy -3585.792900
Iteration   800 Time 106.250591 Energy -3588.566900
Iteration   850 Time 112.874343 Energy -3590.428800
Iteration   900 Time 119.517540 Energy -3595.212400
Iteration   950 Time 126.110526 Energy -3596.967500
Iteration  1000 Time 132.719607 Energy -3598.927000
Iteration  1050 Time 139.344729 Energy -3600.963800
Iteration  1100 Time 146.040995 Energy -3602.167100
Iteration  1150 Time 152.641068 Energy -3603.418200
Iteration  1200 Time 159.230114 Energy -3604.887000
Iteration  1250 Time 165.887856 Energy -3606.189900
Iteration  1300 Time 172.525686 Energy -3607.355000
Iteration  1350 Time 179.102917 Energy -3608.422700
Iteration  1400 Time 185.689981 Energy -3609.403500
Iteration  1450 Time 192.401337 Energy -3610.777900
Iteration  1500 Time 198.956846 Energy -3612.085800
Iteration  1550 Time 205.496356 Energy -3613.111800
Iteration  1600 Time 212.051493 Energy -3613.880500
Iteration  1650 Time 218.634667 Energy -3614.599800
Iteration  1700 Time 225.193174 Energy -3615.655200
Iteration  1750 Time 231.772625 Energy -3616.461800
Iteration  1800 Time 238.370279 Energy -3616.773300
Iteration  1850 Time 244.978247 Energy -3617.597500
Iteration  1900 Time 251.567727 Energy -3618.108000
Iteration  1950 Time 258.083669 Energy -3618.424000
Iteration  2000 Time 264.615395 Energy -3619.163000
